Date,Daily admissions
01/04/2012,49
02/04/2012,58
03/04/2012,36
04/04/2012,44
05/04/2012,64
06/04/2012,46
07/04/2012,46
08/04/2012,39
09/04/2012,58
10/04/2012,61
11/04/2012,51
12/04/2012,52
13/04/2012,48
14/04/2012,24
15/04/2012,43
16/04/2012,56
17/04/2012,44
18/04/2012,47
19/04/2012,44
20/04/2012,48
21/04/2012,31
22/04/2012,32
23/04/2012,45
24/04/2012,43
25/04/2012,40
26/04/2012,45
27/04/2012,50
28/04/2012,38
29/04/2012,29
30/04/2012,48
01/05/2012,51
02/05/2012,44
03/05/2012,40
04/05/2012,33
05/05/2012,34
06/05/2012,33
07/05/2012,49
08/05/2012,46
09/05/2012,49
10/05/2012,44
11/05/2012,41
12/05/2012,22
13/05/2012,40
14/05/2012,43
15/05/2012,46
16/05/2012,45
17/05/2012,49
18/05/2012,47
19/05/2012,28
20/05/2012,47
21/05/2012,44
22/05/2012,51
23/05/2012,48
24/05/2012,37
25/05/2012,49
26/05/2012,50
27/05/2012,40
28/05/2012,44
29/05/2012,48
30/05/2012,37
31/05/2012,47
01/06/2012,48
02/06/2012,35
03/06/2012,41
04/06/2012,46
05/06/2012,43
06/06/2012,66
07/06/2012,51
08/06/2012,46
09/06/2012,26
10/06/2012,32
11/06/2012,46
12/06/2012,40
13/06/2012,30
14/06/2012,49
15/06/2012,42
16/06/2012,27
17/06/2012,38
18/06/2012,43
19/06/2012,36
20/06/2012,44
21/06/2012,44
22/06/2012,50
23/06/2012,37
24/06/2012,30
25/06/2012,46
26/06/2012,44
27/06/2012,41
28/06/2012,52
29/06/2012,49
30/06/2012,23
01/07/2012,30
02/07/2012,44
03/07/2012,30
04/07/2012,35
05/07/2012,46
06/07/2012,39
07/07/2012,37
08/07/2012,35
09/07/2012,40
10/07/2012,31
11/07/2012,35
12/07/2012,40
13/07/2012,34
14/07/2012,27
15/07/2012,31
16/07/2012,43
17/07/2012,39
18/07/2012,38
19/07/2012,39
20/07/2012,36
21/07/2012,31
22/07/2012,32
23/07/2012,45
24/07/2012,40
25/07/2012,44
26/07/2012,35
27/07/2012,45
28/07/2012,37
29/07/2012,25
30/07/2012,50
31/07/2012,34
01/08/2012,27
02/08/2012,47
03/08/2012,36
04/08/2012,22
05/08/2012,20
06/08/2012,50
07/08/2012,49
08/08/2012,46
09/08/2012,26
10/08/2012,38
11/08/2012,24
12/08/2012,40
13/08/2012,39
14/08/2012,49
15/08/2012,42
16/08/2012,36
17/08/2012,35
18/08/2012,24
19/08/2012,27
20/08/2012,42
21/08/2012,33
22/08/2012,34
23/08/2012,32
24/08/2012,52
25/08/2012,25
26/08/2012,37
27/08/2012,29
28/08/2012,34
29/08/2012,25
30/08/2012,36
31/08/2012,26
01/09/2012,30
02/09/2012,35
03/09/2012,35
04/09/2012,38
05/09/2012,34
06/09/2012,33
07/09/2012,39
08/09/2012,25
09/09/2012,33
10/09/2012,46
11/09/2012,40
12/09/2012,32
13/09/2012,33
14/09/2012,34
15/09/2012,26
16/09/2012,27
17/09/2012,39
18/09/2012,40
19/09/2012,28
20/09/2012,47
21/09/2012,43
22/09/2012,34
23/09/2012,36
24/09/2012,44
25/09/2012,46
26/09/2012,47
27/09/2012,45
28/09/2012,51
29/09/2012,31
30/09/2012,50
01/10/2012,41
02/10/2012,45
03/10/2012,43
04/10/2012,42
05/10/2012,42
06/10/2012,41
07/10/2012,36
08/10/2012,44
09/10/2012,41
10/10/2012,43
11/10/2012,40
12/10/2012,42
13/10/2012,45
14/10/2012,45
15/10/2012,53
16/10/2012,33
17/10/2012,43
18/10/2012,53
19/10/2012,45
20/10/2012,41
21/10/2012,32
22/10/2012,44
23/10/2012,46
24/10/2012,46
25/10/2012,44
