date,Wayne Rooney (198),Jermain Defoe (159),Kun Aguero (122),Peter Crouch (101),Romelu Lukaku (84),Daniel Sturridge (73),Olivier Giroud (69),Harry Kane (78),Theo Walcott (65),Christian Benteke (66),Yaya Toure (59),Gareth Barry (51),Eden Hazard (58),Andy Carroll (50),Gabriel Agbonlahor (73),Diego Costa (52),Alexis Sanchez (53),Steven Fletcher (53),Alf Bentley (64),Billy Butler (65),Bobby Irvine (64),Jock McKay (64),Joe Anderson (65),Stan Fazackerley (64),Tinker Davies (65),Alan Gowling (64),Alec Brady (61),Alf Hanson (58),Andy Wilson (65),Arthur Dorrell (60),Asa Hartford (51),Bert Bliss (60),Billy Beats (67),Charlie Craven (65),Charlie Keetley (67),Dally Duncan (63),Danny Shea (61),Danny Wallace (70),David Speedie (64),Dickie Dorsett (65),Don Revie (60),Ernie Toseland (58),Frank Bradshaw (60),Frank O'Donnell (67),Frank O'Rourke (61),Fred Worrall (67),George Dorsett (63),Gordon Strachan (51),Graham Stuart (51),Ivor Broadis (52),Jack Smith (61),Jack Taylor (66),Jack Whitehouse (61),Jimmy Bauchop (61),Jimmy Boyd (63),Jimmy Hagan (58),Jock Peddie (58),John McNichol (60),Jon Sammels (60),Kevin Sheedy (67),Len Duquemin (67),Luther Blissett (70),Mike Ferguson (66),Norman Bullock (70),Peter Davenport (87),Peter Eastoe (51),Ray Hankin (67),Rodney Marsh (63),Roy Clarke (64),Russell Wainscoat (70),Stanley Matthews (67),Stuart Pearce (63),Ted Vizard (60),Thomas Wright (52),Tom Kay (67),Tommy Glidden (65),Tommy Reid (67),Vic Metcalfe (67),Walter Bennett (66),Wattie White (65),William McIntosh (64),Adrian Heath (91),Alan Ball (159),Alan Birchenall (74),Alan Brazil (89),Alan Brown (112),Alan Clarke (167),Alan Finney (62),Alan Shearer (283),Alan Skirton (61),Alan Smith (146),Alan Sunderland (81),Alan Woodward (91),Albert Cheeseborough (76),Albert Hall (52),Albert Shepherd (153),Albert Stubbins (77),Alec Jackson (53),Alex Herd (76),Alex Latta (69),Alex McCrae (55),Alex Stevenson (82),Alex Young (77),Alf Common (117),Alf Milward (85),Alistair Brown (68),Allan Evans (50),Andrew Cole (187),Andrew Johnson (51),Andrew Wilson (201),Andy King (53),Andy McEvoy (82),Angus Morrison (74),Archie Goodall (58),Arnie Whittaker (54),Arthur Bridgett (109),Arthur Brown (115),Arthur Capes (53),Arthur Chandler (204),Arthur Cunliffe (58),Arthur Goddard (72),Arthur Green (69),Arthur Groves (57),Arthur Hydes (71),Arthur Lochhead (115),Arthur Rigby (55),Arthur Rowley (51),Barry Bridges (73),Benny Cross (57),Benny Green (51),Benny Yorston (79),Berry Nieuwenhuys (74),Bertie Freeeman (123),Bill Appleyard (90),Bill Kiernan (62),Bill Perry (120),Billy Bassett (62),Billy Bowes (53),Billy Bremner (58),Billy Cook (69),Billy Dickson (73),Billy Furness (50),Billy Gillespie (57),Billy Gillespie (126),Billy Gray (71),Billy Hartill (74),Billy Hibbert (175),Billy Hogg (87),Billy Jones (130),Billy Kirton (53),Billy McAdams (87),Billy Meredith (83),Billy Minter (72),Billy Walker (214),Billy Wooldridge (70),Bob Kelly (140),Bob Latchford (168),Bobby Barclay (75),Bobby Bruce (55),Bobby Charlton (199),Bobby Collins (51),Bobby Gould (77),Bobby Gurney (208),Bobby Marshall (133),Bobby Mitchell (89),Bobby Parker (71),Bobby Robson (68),Bobby Smith (199),Bobby Tambling (142),Brian Kidd (138),Brian McClair (88),Brian Pilkington (77),Brian Stein (70),Brian Talbot (146),Bryan Douglas (56),Bryan Robson (110),Bryn Jones (59),Bud Maxwell (60),Carlos Tevez (84),Carlton Cole (51),Charles Sagar (72),Charlie Athersmith (83),Charlie Buchan (258),Charlie Fleming (62),Charlie George (76),Charlie Jones (59),Charlie Mitten (56),Charlie Satterthwaite (59),Charlie Wallace (57),Charlie Wayman (77),Charlie Wilson (76),Chris Armstrong (71),Chris Crowe (69),Chris Sutton (85),Chris Waddle (57),Clem Stephenson (128),Cliff Bastin (150),Cliff Holton (82),Cliff Jones (136),Cliff Parker (57),Clint Dempsey (57),Clive Allen (113),Clive Clark (80),Colin Addison (77),Colin Barlow (78),Colin Bell (113),Colin Booth (65),Colin Dobson (50),Colin Suggett (59),Colin West (53),Craig Bellamy (81),Cristiano Ronaldo (84),Cyrille Regis (143),Dai Astley (138),Damien Duff (53),Danny Murphy (52),Darius Vassell (52),Dave Halliday (207),Dave Hickson (54),Dave Mangnall (81),David Armstrong (111),David Beckham (62),David Dunmore (50),David Durie (84),David Herd (222),David Jack (255),David Layne (52),David McLean (153),David Mills (56),David Platt (58),David Walsh (57),David White (69),David Wykes (57),Dean Holdsworth (63),Dean Saunders (115),Denis Law (201),Dennis Bergkamp (87),Dennis Hatsell (54),Dennis Stevens (110),Dennis Viollet (190),Dennis Westcott (117),Dennis Wise (81),Denny Hodgetts (62),Derek Dougan (175),Derek Kevan (157),Derek Temple (72),Dick Forshaw (125),Dickie Spence (62),Dicky York (79),Dion Dublin (111),Dirk Kuyt (51),Dixie Dean (310),Don Givens (62),Don Roper (88),Doug Lishman (126),Doug Reid (129),Duncan Ferguson (68),Duncan McKenzie (54),Dwight Yorke (170),Ed Brown (62),Eddie Firmani (51),Eddie Wainwright (56),Eddy Gray (52),Edgar Chadwick (115),Edin Dzeko (50),Efan Ekoku (52),Eider Gudjohnsen (55),Ellis Rimmer (116),Emile Heskey (111),Enoch West (151),Eric Brook (146),Eric Cantona (73),Eric Houghton (136),Ernie Curtis (52),Ernie Hine (153),Ernie Hunt (50),Ernie Islip (50),Ernie Taylor (74),Ernie Thompson (83),Evan Jones (51),Fernando Torres (85),Francis Lee (163),Frank Becton (73),Frank Bowyer (56),Frank Broome (75),Frank Lampard (177),Frank McLintock (57),Frank Osborne (53),Frank Roberts (163),Frank Stapleton (136),Frank White (56),Frank Wignall (88),Frank Worthington (150),Fred Geary (81),Fred Harris (60),Fred Howe (51),Fred Morris (112),Fred Pagnam (55),Fred Pickering (122),Fred Priest (71),Fred Spiksley (87),Fred Tilson (110),Fred Tunstall (131),Fred Wheldon (91),Freddie Steele (139),Freddie Warren (52),Gareth Barry (50),Garth Crooks (88),Gary Bannister (78),Gary Birtles (81),Gary Lineker (145),Gary McAllister (73),Gary Shaw (59),Geoff Hurst (211),Geoff Vowden (50),Geoff Walker (50),George Armstrong (53),George Beel (141),George Best (137),George Brown (240),George Camsell (235),George Eastham (74),George Elliott (200),George Hannah (54),George Hilsdon (52),George Holley (148),George Hunt (69),George Lee (58),George Robb (53),George Robledo (82),Gerry Daly (62),Gianfranco Zola (59),Ginger Richardson (177),Glenn Hoddle (77),Gordon Cowans (50),Gordon Harris (85),Gordon Hodgson (287),Gordon Hurst (72),Graeme Sharp (139),Graeme Souness (53),Grenville Morris (153),Gus Poyet (54),Harold Blackmore (120),Harold Halse (86),Harry Bedford (133),Harry Burrows (123),Harry Chambers (137),Harry Chippendale (51),Harry Davis (53),Harry Hampton (219),Harry Hooper (53),Harry Johnson (201),Harry Kewell (57),Horace Barnes (165),Hugh Ferguson (76),Hughie Gallacher (247),Ian Dowie (57),Ian Rush (232),Ian St John (80),Ian Storey-Moore (116),Ian Wright (165),Ike Clarke (55),Irvine Thornley (80),Ivor Allchurch (62),Jack Allen (110),Jack Ball (87),Jack Bell (76),Jack Bowers (186),Jack Bruton (128),Jack Cock (76),Jack Cox (62),Jack Devey (168),Jack Dewhurst (50),Jack Froggatt (73),Jack Hall (50),Jack Mahon (59),Jack Pickering (59),Jack Rowley (173),Jack Sharp (84),Jack Southworth (133),Jack Weddle (171),Jackie Carr (62),Jackie Henderson (109),Jackie Milburn (150),Jackie Mordue (73),Jackie Mudie (146),Jackie Sewell (86),Jackie Sinclair (59),James Beattie (90),James Oswald (55),Jason Euell (56),Jasper McLucki (70),Jeff Astle (136),Jerry Dean (50),Jesse Pye (90),Jim Baxter (65),Jim Glazzard (110),Jim McCalliog (59),Jimmy Bloomfield (80),Jimmy Brain (124),Jimmy Cantrell (143),Jimmy Cassisdy (84),Jimmy Dimmock (73),Jimmy Dunne (153),Jimmy Floyd Hasselbaink (128),Jimmy Gabriel (59),Jimmy Greaves (357),Jimmy Greenhoff (123),Jimmy Hampson (77),Jimmy Hannah (68),Jimmy Hill (50),Jimmy Howie (69),Jimmy Logie (68),Jimmy McIlroy (126),Jimmy Murray (158),Jimmy Richardson (70),Jimmy Robertson (54),Jimmy Robson (89),Jimmy Ross (127),Jimmy Ruffell (117),Jimmy Settle (113),Jimmy Trotter (54),Jimmy Walsh (80),Jock Miller (52),Joe Bache (167),Joe Baker (136),Joe Beresford (76),Joe Bradford (248),Joe Carter (88),Joe Clennell (77),Joe Hayes (143),Joe Hewitt (77),Joe Hulme (113),Joe Jordan (84),Joe Kitchen (109),Joe Robson (52),Joe Royle (150),Joe Schofield (83),Joe Smith (243),Joey Walters (74),John Aldridge (88),John Barnes (140),John Dick (77),John Fantham (135),John Hart (54),John Hartson (55),John Hollins (61),John Morris (85),John O'Hare (58),John Quigley (51),John Radford (112),John Richards (129),John Ritchie (169),John Toshack (74),John Tudor (56),John Wark (135),Johnny Brooks (52),Johnny Byrne (80),Johnny Campbell (133),Johnny Ciles (91),Johnny Crosbie (57),Johnny Dixon (131),Johnny Hancocks (157),Johnny Haynes (55),Johnny Nicholls (59),Johnny Spuhler (72),Justin Fashanu (53),Keith Ellis (51),Ken Chisholm (59),Ken Keyworth (62),Ken Leek (87),Kenny Burns (58),Kenny Dalglish (118),Kenny Hibbitt (74),Kevin Davies (88),Kevin Gallacher (78),Kevin Nolan (68),Kevin Reeves (71),Lee Bowyer (57),Lee Chapman (179),Leighton James (60),Len Capewell (88),Len Davies (115),Len White (136),Les Allen (61),Les Ferdinand (169),Liam Brady (50),Lloyd Delaphena (50),Lou Macari (68),Louis Saha (85),Luis Suarez (69),Malcolm McDonald (137),Malcolm Musgrove (62),Mark Falco (109),Mark Hooper (124),Mark Hughes (148),Martin Chivers (149),Martin Dobson (51),Martin Peters (169),Martin Watkins (52),Matthew Le Tissier (161),Maurice Cook (61),Michael Owen (150),Mick Channon (166),Mick Harford (123),Mick Jones (140),Micky Burns (73),Micky Fenton (147),Mike Lyons (53),Mike Newell (55),Mike Robinson (56),Mike Stringfellow (81),Nat Cunliffe (73),Nat Lofthouse (255),Neil Martin (84),Neil Webb (55),Neil Young (59),Nicholas Anelka (125),Nick Barmby (53),Nigel Clough (111),Norman Deeley (71),Norman Whiteside (56),Nwankwo Kanu (54),Oscar Fox (59),Paolo Di Canio (68),Pat Glover (118),Paul Goddard (89),Paul Ince (54),Paul Mariner (114),Paul Rideout (70),Paul Walsh (86),Paulo Wanchope (50),Percy Dawson (71),Percy Smith (57),Peter Beardsley (161),Peter Brabrook (80),Peter Broadbent (128),Peter Cormack (52),Peter Dobing (172),Peter Goring (51),Peter Harris (193),Peter Lorimer (151),Peter McParland (86),Peter Murphy (61),Peter Ramage (55),Phil Boyer (53),Phil Woosnam (50),Pongo Waring (162),Pop Robson (165),Raich Carter (152),Ray Charnley (190),Ray Crawford (130),Ray Pointer (118),Ray Westwood (76),Redfern Froggatt (58),Richard Davis (73),Robbie Earle (58),Robbie Fowler (162),Robbie Keane (126),Robert Pires (62),Robin Van Persie (144),Roddy McLeod (52),Roger Hunt (168),Roland Woodhouse (50),Ron Davies (134),Ron Rooke (68),Ron Tindall (70),Ronnie Allen (206),Ronnie Dix (68),Roy Bentley (131),Roy Keane (55),Roy Vernon (144),Roy Wegerle (55),Ryan Giggs (114),Sam Raybould (123),Sammy Gilligan (59),Sammy McIlroy (55),Sandy Turnbull (131),Sandy Young (114),Sonny Walters (50),Stan Bowles (55),Stan Collymore (63),Stan Earle (60),Stan Lynn (54),Stan Mortensen (197),Stan Pearson (125),Stan Seymour (73),Steve Archibald (58),Steve Bloomer (309),Steve Coppell (53),Steve Earle (54),Steve Hodge (79),Steve Moran (87),Steven Gerrard (120),Stuart Leary (76),Syd Puddefoot (79),Ted Drake (124),Ted Harper (133),Teddy Sandford (59),Teddy Sheringham (180),Terry Gibson (66),Terry McDermott (60),Terry Medwin (65),Thierry Henry (175),Thomas Wilson (51),Tim Cahill (56),Tim Coleman (88),Tom Finney (164),Tom Jennings (91),Tom Miller (58),Tom Pearson (69),Tommy Baldwin (79),Tommy Browell (148),Tommy Johnson (164),Tommy Lang (52),Tommy Roberts (145),Tommy Sale (80),Tommy Taylor (112),Tommy Thompson (188),Tommy White (56),Tony Brown (177),Tony Cottee (214),Tony Hateley (95),Tony Woodcock (81),Trevor Brooking (71),Trevor Ford (165),Trevor Francis (144),Trevor Sinclair (51),Trevor Whymark (75),Vic Keeble (82),Vic Watson (200),Viv Gibbins (59),Wally Amos (58),Wally Hardinge (50),Walter Tinsley (56),Wattie Aitkenhead (75),Wilf Chadwick (51),William Holden (80),Willie Fagan (53),Willie Irvine (78),Willie Moir (118),Willie Wood (62),Wyn Davie (72)
1889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
